Stormwater Gallons Saved,CO2 Avoided (in lbs.),kWh Saved,Therms Saved,Pollutants Saved (in lbs.),Property Benefits ($)
1642.11,273.05,110.79,40.92,1.82,74.79
354.07,11.24,53.44,22.99,0.12,45.07
60.94,2.5,11.87,6.07,0.03,13.9
403.37,17.21,81.81,27.91,0.16,38.11
238.08,7.37,35.05,14.16,0.09,82.65
2736.48,274.11,182.4,62.26,1.94,37.33
5357.33,537.81,218.21,71.46,3.73,47.95
898.58,144.28,58.54,23.44,0.92,79.48
1516.82,264.32,107.24,38.97,1.74,69.91
379.02,11.15,53.0,22.34,0.12,50.88
3773.29,481.83,195.5,65.65,3.25,87.01
21.55,0.93,4.43,2.43,0.01,9.08
3646.22,421.47,171.01,59.53,2.89,116.97
117.61,26.89,9.42,4.86,0.19,9.67
509.4,21.07,100.16,35.06,0.22,60.14
1214.28,169.89,68.93,21.69,1.27,26.62
4716.94,497.27,201.76,67.98,3.44,50.99
240.02,13.29,63.15,26.97,0.12,76.08
455.69,15.1,71.76,28.02,0.16,46.49
519.24,81.05,32.89,14.36,0.55,38.05
252.67,10.62,50.48,21.15,0.12,34.55
30.11,1.32,6.25,3.03,0.01,45.89
3700.28,507.89,206.07,68.73,3.34,128.6
148.95,6.13,29.12,13.59,0.07,23.7
426.35,13.15,62.51,24.9,0.14,50.61
1961.4,43.33,205.93,68.89,0.51,50.4
663.58,27.29,129.69,44.51,0.27,77.97
788.66,116.65,40.85,16.6,0.79,54.53
328.08,13.25,62.98,22.89,0.13,40.04
701.34,23.69,112.61,43.37,0.26,21.98
1732.81,229.16,92.98,36.54,1.55,74.89
909.09,178.43,72.39,25.4,1.09,39.07
724.83,29.84,141.81,47.64,0.3,79.5
71.96,1.68,7.96,4.03,0.02,51.82
425.42,14.36,68.27,22.93,0.16,108.56
256.6,8.77,41.7,18.03,0.1,39.63
1564.31,248.77,100.94,35.59,1.57,87.98
1570.03,240.3,84.16,32.94,1.59,63.26
1741.48,201.65,134.18,49.6,1.44,101.7
268.07,10.19,48.45,20.61,0.11,21.08
935.51,33.29,158.2,54.28,0.35,76.59
224.4,7.0,33.29,14.3,0.07,70.7
1743.34,277.54,112.61,43.37,1.86,17.59
2038.77,303.92,123.31,46.42,2.08,90.28
2103.05,337.22,136.82,48.01,2.15,111.11
224.29,7.86,37.37,16.68,0.08,63.73
417.73,18.39,87.39,30.72,0.19,51.11
541.1,22.19,105.46,38.25,0.22,74.9
215.0,41.89,17.0,8.42,0.3,16.99
292.62,56.83,23.06,11.01,0.4,20.35
1743.34,277.54,112.61,43.37,1.86,4.4
2180.72,420.53,147.27,49.85,2.62,78.53
779.95,132.4,46.37,20.48,0.89,44.68
815.52,155.22,62.98,22.89,0.96,40.04
259.73,57.82,20.25,10.11,0.41,11.69
1415.35,240.06,97.4,33.55,1.49,86.57
86.49,3.58,17.0,8.42,0.04,16.99
775.79,131.33,87.39,30.72,0.86,51.11
104.07,7.62,36.2,17.29,0.06,61.28
335.2,14.5,68.93,25.94,0.15,42.83
25.98,1.17,5.58,3.01,0.01,8.99
2517.33,327.59,132.92,50.06,2.23,45.33
324.74,53.85,18.86,8.88,0.37,27.64
1038.36,215.38,87.39,30.72,1.36,51.11
376.46,16.44,78.16,28.33,0.17,46.97
812.92,24.12,114.66,43.06,0.26,47.67
1743.34,277.54,112.61,43.37,1.86,8.8
1038.36,215.38,87.39,30.72,1.36,51.11
3851.41,434.11,176.14,60.83,2.99,116.5
240.02,13.29,63.15,26.97,0.12,76.08
106.75,3.09,14.7,6.04,0.03,61.84
1140.93,238.12,96.61,33.11,1.49,55.25
1391.52,255.59,103.7,37.02,1.66,65.02
568.34,19.16,91.05,32.59,0.19,49.81
30.11,1.32,6.25,3.03,0.01,45.89
761.43,24.8,117.87,44.83,0.28,84.56
194.92,29.56,10.35,4.26,0.2,45.17
1440.72,269.92,94.53,32.93,1.62,88.44
1422.66,264.73,92.71,34.43,1.69,47.54
331.69,9.15,43.49,19.78,0.1,51.14
1427.38,255.92,103.84,37.46,1.64,49.12
3130.2,320.44,130.01,48.36,2.18,126.61
3636.82,346.47,140.58,51.62,2.36,0.25
297.21,12.13,57.68,23.96,0.13,19.05
1002.66,201.63,81.81,27.91,1.22,38.11
1713.26,257.48,104.47,37.64,1.65,89.39
909.09,178.43,72.39,25.4,1.09,39.07
1311.93,242.4,98.35,34.74,1.52,33.55
1564.31,248.77,100.94,35.59,1.57,87.98
287.75,7.8,37.05,16.99,0.09,51.27
268.07,10.19,48.45,20.61,0.11,21.08
537.15,76.15,30.9,13.99,0.52,42.25
701.34,23.69,112.61,43.37,0.26,26.38
63.7,2.62,12.45,6.04,0.03,13.24
3700.28,507.89,206.07,68.73,3.34,128.6
3636.82,346.47,140.58,51.62,2.36,0.25
909.09,178.43,72.39,25.4,1.09,39.07
24.95,0.68,3.22,1.55,0.01,28.81
1743.34,277.54,112.61,43.37,1.86,26.38
1652.95,256.55,104.09,37.13,1.63,49.07
25.98,1.17,5.58,3.01,0.01,8.99
3432.15,454.35,184.35,63.18,3.06,82.66
1673.73,306.22,107.24,38.97,2.0,69.91
306.16,68.24,23.9,10.53,0.46,22.57
1743.34,277.54,112.61,43.37,1.86,0.01
935.78,192.64,78.16,28.33,1.23,46.97
841.81,132.9,46.54,20.28,0.86,76.49
935.78,192.64,78.16,28.33,1.23,46.97
459.0,20.33,96.61,33.11,0.2,55.25
213.15,30.4,10.65,4.46,0.19,58.58
1743.34,277.54,112.61,43.37,1.86,4.4
628.05,124.42,50.48,21.15,0.84,34.55
1743.34,277.54,112.61,43.37,1.86,26.38
509.47,19.75,93.87,31.5,0.19,85.16
2520.43,284.95,115.62,43.88,1.93,103.62
918.36,23.05,109.54,41.98,0.26,95.01
937.72,28.23,134.18,49.6,0.32,101.7
833.21,169.9,68.93,25.94,1.1,42.83
64.63,14.57,5.91,2.63,0.1,10.25
104.07,7.62,36.2,17.29,0.06,61.28
155.97,6.19,29.4,12.66,0.06,57.16
293.93,12.56,59.71,23.54,0.13,38.69
55.63,1.98,9.4,4.71,0.02,36.01
106.58,23.21,9.42,4.86,0.17,9.67
3323.74,463.23,187.95,64.46,3.04,123.17
1140.93,238.12,96.61,33.11,1.49,55.25
1302.49,169.23,112.61,43.37,1.18,17.59
1311.93,242.4,98.35,34.74,1.52,33.55
697.11,19.56,92.98,36.54,0.22,74.89
447.86,86.73,35.19,16.18,0.61,27.05
1397.4,268.03,93.87,31.5,1.61,85.16
205.69,7.88,37.44,17.53,0.09,20.17
509.47,19.75,93.87,31.5,0.19,85.16
56.84,2.6,12.34,6.26,0.03,12.49
235.38,49.9,20.25,10.11,0.36,11.69
697.6,128.59,45.03,19.23,0.85,40.08
293.93,12.56,59.71,23.54,0.13,38.69
71.26,15.94,5.58,3.01,0.11,8.99
77.57,12.62,4.42,2.12,0.09,26.83
414.41,15.79,75.04,26.56,0.15,78.02
412.6,85.08,34.52,16.28,0.59,14.34
855.24,103.22,41.88,14.96,0.82,27.03
527.79,20.69,98.35,34.74,0.21,33.55
3700.28,507.89,206.07,68.73,3.34,128.6
6646.75,758.04,307.56,85.59,5.05,170.4
1635.49,268.76,109.04,41.21,1.77,28.17
2643.08,341.4,138.52,51.59,2.33,44.62
60.94,2.5,11.87,6.07,0.03,13.9
2219.23,318.47,111.53,41.72,2.09,92.21
1422.66,264.73,92.71,34.43,1.69,47.54
1302.49,169.23,112.61,43.37,1.18,8.8
2184.84,317.31,128.75,48.01,2.18,95.99
281.65,30.43,12.35,6.17,0.21,51.75
908.03,28.32,134.62,40.36,0.32,157.63
1516.82,264.32,107.24,38.97,1.74,69.91
660.62,23.31,110.79,40.92,0.26,74.79
568.34,19.16,91.05,32.59,0.19,49.81
693.03,144.14,50.48,21.15,0.97,34.55
59.12,12.64,4.43,2.43,0.09,9.08
354.07,11.24,53.44,22.99,0.12,45.07
2184.84,317.31,128.75,48.01,2.18,95.99
2744.79,345.13,140.03,52.5,2.37,52.84
152.59,26.83,9.4,4.71,0.19,36.01
290.44,11.27,53.57,20.38,0.11,41.01
1923.68,321.54,112.61,43.37,2.13,0.01
4410.87,623.85,218.48,70.33,4.1,0.01
144.59,9.48,45.05,20.82,0.08,66.29
1743.34,277.54,112.61,43.37,1.86,0.01
1227.99,232.85,94.48,33.75,1.46,50.9
1743.34,277.54,112.61,43.37,1.86,0.01
25.98,1.17,5.58,3.01,0.01,8.99
458.23,95.23,38.64,17.45,0.65,15.03
1038.36,215.38,87.39,30.72,1.36,51.11
1096.23,224.83,91.22,30.42,1.35,37.14
1644.79,38.83,184.54,64.09,0.45,52.89
699.15,117.46,78.16,28.33,0.78,46.97
504.81,70.32,46.79,19.15,0.48,67.31
366.88,13.81,65.62,24.09,0.14,74.45
714.29,22.64,107.62,39.11,0.24,48.61
21.55,0.93,4.43,2.43,0.01,9.08
1743.34,277.54,112.61,43.37,1.86,0.01
615.67,21.16,100.57,35.15,0.21,49.54
120.93,23.83,8.35,4.1,0.17,11.2
579.84,117.79,41.25,18.76,0.82,30.4
417.73,18.39,87.39,30.72,0.19,51.11
2163.97,262.49,106.5,41.03,1.78,90.7
1923.68,321.54,112.61,43.37,2.13,8.8
660.35,98.38,39.92,17.29,0.64,73.6
1743.34,277.54,112.61,43.37,1.86,21.98
344.06,8.81,41.88,14.96,0.13,27.03
117.61,26.89,9.42,4.86,0.19,9.67
1311.93,242.4,98.35,34.74,1.52,33.55
1923.68,321.54,112.61,43.37,2.13,17.59
932.9,26.51,125.99,47.66,0.3,51.92
715.28,91.32,37.05,16.99,0.63,51.27
104.81,3.24,15.41,6.25,0.04,54.03
1743.34,277.54,112.61,43.37,1.86,0.01
568.33,19.97,94.94,29.05,0.21,124.91
4041.58,520.82,182.4,62.26,3.51,37.33
37.42,3.97,18.87,9.3,0.03,51.01
1140.93,238.12,96.61,33.11,1.49,55.25
1389.24,231.05,80.92,30.54,1.49,47.2
1743.34,277.54,112.61,43.37,1.86,13.19
64.58,13.76,5.58,3.01,0.1,8.99
459.0,20.33,96.61,33.11,0.2,55.25
3375.46,358.28,238.4,74.83,2.46,140.54
962.13,26.79,127.31,48.54,0.3,46.03
193.06,38.62,13.53,6.07,0.25,49.74
1632.35,193.48,128.75,48.01,1.38,95.99
473.68,15.15,72.03,27.47,0.16,50.34
37.14,1.03,4.91,2.43,0.01,31.72
1923.68,321.54,112.61,43.37,2.13,13.19
211.4,8.68,41.25,18.76,0.1,30.4
701.34,23.69,112.61,43.37,0.26,26.38
1517.23,212.49,86.21,34.3,1.44,66.98
102.04,18.9,7.67,3.93,0.14,11.06
1305.65,232.98,94.53,32.93,1.41,88.44
418.61,17.09,81.23,31.99,0.18,71.83
1740.17,338.43,118.52,39.26,2.0,94.41
263.52,30.11,20.03,8.32,0.2,64.91
1527.64,259.97,105.48,39.05,1.69,29.97
6375.61,720.64,252.38,76.6,4.86,110.93
42.88,1.98,9.42,4.86,0.02,9.67
1254.08,278.39,97.5,37.02,1.69,92.99
689.24,21.98,104.47,37.64,0.23,89.39
1140.93,238.12,96.61,33.11,1.49,55.25
660.62,23.31,110.79,40.92,0.26,74.79
379.02,11.15,53.0,22.34,0.12,50.88
163.96,37.84,13.25,6.7,0.27,10.36
614.57,22.19,105.48,39.05,0.23,29.97
1034.18,31.92,151.71,55.93,0.34,112.32
163.96,37.84,13.25,6.7,0.27,10.36
506.49,17.02,80.92,30.54,0.18,47.2
679.21,108.8,72.39,25.4,0.69,39.07
258.71,43.1,15.09,6.44,0.28,31.47
211.4,8.68,41.25,18.76,0.1,30.4
365.73,15.23,72.39,25.4,0.15,39.07
141.9,4.22,20.03,8.32,0.04,64.91
335.2,14.5,68.93,25.94,0.15,42.83
614.57,22.19,105.48,39.05,0.23,29.97
1311.93,242.4,98.35,34.74,1.52,33.55
3614.6,502.43,203.85,67.19,3.33,45.95
60.94,2.5,11.87,6.07,0.03,13.9
25.98,1.17,5.58,3.01,0.01,8.99
1038.36,215.38,87.39,30.72,1.36,51.11
1516.82,264.32,107.24,38.97,1.74,69.91
59.78,2.79,13.25,6.7,0.03,10.36
1227.99,232.85,94.48,33.75,1.46,50.9
25.98,1.17,5.58,3.01,0.01,8.99
699.15,117.46,78.16,28.33,0.78,46.97
59.12,12.64,4.43,2.43,0.09,9.08
376.46,16.44,78.16,28.33,0.17,46.97
252.67,10.62,50.48,21.15,0.12,34.55
60.94,2.5,11.87,6.07,0.03,13.9
274.17,45.69,30.4,15.1,0.34,13.66
590.13,99.19,34.74,15.36,0.66,42.94
574.23,21.85,103.84,37.46,0.22,49.12
701.34,23.69,112.61,43.37,0.26,13.19
833.21,169.9,68.93,25.94,1.1,42.83
174.5,6.72,31.93,16.0,0.08,19.71
313.52,59.4,24.1,12.09,0.44,16.88
213.28,46.46,16.27,8.19,0.34,14.05
2219.23,318.47,111.53,41.72,2.09,92.21
2391.58,313.78,127.31,48.54,2.14,46.03
224.4,7.0,33.29,14.3,0.07,70.7
25.98,1.17,5.58,3.01,0.01,8.99
71.06,2.18,10.35,4.26,0.02,45.17
1415.35,240.06,97.4,33.55,1.49,86.57
5404.98,555.19,225.26,72.0,3.78,29.38
3179.27,384.03,155.82,56.9,2.64,53.43
144.59,9.48,45.05,20.82,0.08,66.29
628.05,124.42,50.48,21.15,0.84,34.55
572.41,17.71,84.16,32.94,0.19,63.26
1258.96,275.87,96.61,33.11,1.72,55.25
815.52,155.22,62.98,22.89,0.96,40.04
418.61,17.09,81.23,31.99,0.18,71.83
211.4,8.68,41.25,18.76,0.1,30.4
1351.45,258.52,104.89,36.54,1.61,53.08
815.52,155.22,62.98,22.89,0.96,40.04
834.66,144.26,50.52,21.69,0.97,41.21
610.21,22.56,107.24,38.97,0.24,69.91
6016.53,576.53,233.92,74.41,4.0,42.8
370.24,71.78,29.12,13.59,0.5,23.7
123.4,3.94,18.73,7.57,0.04,43.07
1743.34,277.54,112.61,43.37,1.86,0.01
1391.52,255.59,103.7,37.02,1.66,65.02
331.69,9.15,43.49,19.78,0.1,51.14
657.95,22.94,109.04,41.21,0.25,28.17
148.95,6.13,29.12,13.59,0.07,23.7
328.08,13.25,62.98,22.89,0.13,40.04
319.35,11.83,56.21,21.62,0.12,70.88
447.86,86.73,35.19,16.18,0.61,27.05
148.59,32.67,13.25,6.7,0.23,10.36
44.09,1.76,8.35,4.1,0.02,11.2
1743.34,277.54,112.61,43.37,1.86,26.38
532.79,75.7,30.71,12.92,0.52,49.54
211.4,8.68,41.25,18.76,0.1,30.4
559.81,21.82,103.7,37.02,0.23,65.02
571.18,21.44,101.92,36.9,0.22,31.76
674.82,21.21,100.81,37.34,0.22,60.75
71.96,1.68,7.96,4.03,0.02,51.82
459.0,20.33,96.61,33.11,0.2,55.25
721.95,132.02,53.57,20.38,0.83,41.01
1104.23,29.46,140.03,52.5,0.34,52.84
711.03,24.05,114.33,42.87,0.27,79.68
303.52,59.39,20.8,9.11,0.39,53.59
55.92,9.4,6.25,3.03,0.07,45.89
370.24,71.78,29.12,13.59,0.5,23.7
2073.85,333.01,135.12,47.6,2.1,103.36
534.81,85.61,34.74,15.36,0.58,42.94
459.0,20.33,96.61,33.11,0.2,55.25
1516.82,264.32,107.24,38.97,1.74,69.91
2174.42,43.86,208.47,68.48,0.54,88.12
293.93,12.56,59.71,23.54,0.13,38.69
379.02,11.15,53.0,22.34,0.12,50.88
918.71,29.51,140.24,49.6,0.31,113.05
153.98,5.06,24.07,10.16,0.05,43.02
36.0,1.57,7.46,3.11,0.02,12.19
342.18,47.9,16.77,8.15,0.33,40.28
32.06,6.98,2.44,1.39,0.05,5.77
833.21,169.9,68.93,25.94,1.1,42.83
3430.37,421.47,171.01,59.53,2.9,144.02
1743.34,277.54,112.61,43.37,1.86,26.38
126.13,5.07,24.1,12.09,0.06,16.88
410.54,70.44,46.87,19.81,0.49,16.4
4875.47,507.56,205.93,68.89,3.51,50.4
21.55,0.93,4.43,2.43,0.01,9.08
193.06,38.62,13.53,6.07,0.25,49.74
1558.87,260.0,91.05,32.59,1.62,49.81
148.95,6.13,29.12,13.59,0.07,23.7
42.88,1.98,9.42,4.86,0.02,9.67
1583.29,37.84,179.85,62.95,0.44,53.04
1767.41,281.79,114.33,42.87,1.91,79.68
155.95,3.74,17.76,8.64,0.04,51.66
252.67,10.62,50.48,21.15,0.12,34.55
721.95,132.02,53.57,20.38,0.83,41.01
693.03,144.14,50.48,21.15,0.97,34.55
1527.64,259.97,105.48,39.05,1.69,29.97
1743.34,277.54,112.61,43.37,1.86,0.01
660.62,23.31,110.79,40.92,0.26,74.79
110.66,4.38,20.8,9.11,0.05,53.59
290.44,11.27,53.57,20.38,0.11,41.01
3179.27,384.03,155.82,56.9,2.64,53.43
455.69,15.1,71.76,28.02,0.16,46.49
664.98,21.9,104.09,37.13,0.22,49.07
303.52,59.39,20.8,9.11,0.39,53.59
2492.96,57.52,273.38,77.24,0.72,131.94
763.6,23.38,111.14,41.08,0.25,48.14
2265.83,299.97,121.71,47.01,2.04,46.74
211.4,8.68,41.25,18.76,0.1,30.4
292.8,41.96,14.7,6.04,0.27,61.84
24.48,0.89,4.24,2.17,0.01,9.15
174.5,6.72,31.93,16.0,0.08,19.71
932.9,26.51,125.99,47.66,0.3,51.92
2330.9,330.71,134.18,49.6,2.27,101.7
354.07,11.24,53.44,22.99,0.12,45.07
97.44,20.66,8.38,4.35,0.15,10.78
1521.79,36.85,175.16,61.8,0.43,53.19
1162.49,30.57,145.29,53.97,0.35,53.04
215.15,7.31,34.74,15.36,0.08,42.94
5019.58,573.82,232.82,73.18,3.89,102.23
827.2,21.7,103.12,39.91,0.24,86.75
622.51,103.6,68.93,25.94,0.7,42.83
1644.79,38.83,184.54,64.09,0.45,52.89
762.89,114.71,46.54,20.28,0.75,76.49
1414.09,177.15,117.87,44.83,1.26,84.56
1635.49,268.76,109.04,41.21,1.77,28.17
71.26,15.94,5.58,3.01,0.11,8.99
322.89,65.84,23.06,11.01,0.46,20.35
373.64,69.05,28.02,14.05,0.51,18.29
2405.06,360.27,146.18,53.15,2.34,109.33
1162.49,30.57,145.29,53.97,0.35,53.04
1923.68,321.54,112.61,43.37,2.13,0.01
25.98,1.17,5.58,3.01,0.01,8.99
2889.62,358.1,145.29,53.97,2.46,53.04
559.81,21.82,103.7,37.02,0.23,65.02
1743.34,277.54,112.61,43.37,1.86,21.98
1038.36,215.38,87.39,30.72,1.36,51.11
129.98,5.68,27.02,13.44,0.07,13.0
711.03,24.05,114.33,42.87,0.27,79.68
71.26,15.94,5.58,3.01,0.11,8.99
25.98,1.17,5.58,3.01,0.01,8.99
151.76,4.8,22.81,10.65,0.05,40.19
1148.25,208.15,84.45,29.03,1.27,81.59
1140.93,238.12,96.61,33.11,1.49,55.25
71.26,15.94,5.58,3.01,0.11,8.99
102.64,53.88,18.87,9.3,0.3,51.01
1635.49,268.76,109.04,41.21,1.77,28.17
226.34,36.7,12.85,6.16,0.25,38.93
660.62,23.31,110.79,40.92,0.26,74.79
469.24,75.86,50.48,21.15,0.53,34.55
3235.43,395.95,160.65,50.7,2.81,0.01
1140.93,238.12,96.61,33.11,1.49,55.25
2825.46,370.9,150.49,54.37,2.5,118.87
117.72,4.85,23.06,11.01,0.06,20.35
1266.23,246.85,100.16,35.06,1.58,60.14
259.73,57.82,20.25,10.11,0.41,11.69
1207.84,171.08,59.91,19.45,1.28,26.76
827.2,21.7,103.12,39.91,0.24,86.75
698.69,136.98,47.97,19.45,0.9,32.02
70.38,2.85,13.53,6.07,0.03,49.74
701.34,23.69,112.61,43.37,0.26,26.38
293.93,12.56,59.71,23.54,0.13,38.69
42.88,1.98,9.42,4.86,0.02,9.67
293.93,12.56,59.71,23.54,0.13,38.69
24.53,2.74,0.96,0.58,0.02,16.48
2758.94,396.24,160.77,58.07,2.61,115.03
3054.61,277.34,184.54,64.09,1.99,52.89
525.48,101.68,41.25,18.76,0.71,30.4
879.84,135.39,54.93,19.86,0.92,100.38
1169.96,203.42,82.53,29.77,1.25,85.45
474.34,86.31,35.02,16.1,0.6,25.69
414.41,15.79,75.04,26.56,0.15,78.02
252.67,10.62,50.48,21.15,0.12,34.55
1527.64,259.97,105.48,39.05,1.69,29.97
70.75,5.79,27.53,13.29,0.05,56.15
459.0,20.33,96.61,33.11,0.2,55.25
1743.34,277.54,112.61,43.37,1.86,21.98
1527.64,259.97,105.48,39.05,1.69,29.97
370.24,71.78,29.12,13.59,0.5,23.7
1030.1,184.94,75.04,26.56,1.14,78.02
1055.24,30.52,145.05,52.78,0.35,113.12
303.52,59.39,20.8,9.11,0.39,53.59
293.93,12.56,59.71,23.54,0.13,38.69
3943.86,495.57,201.07,66.89,3.35,89.18
335.2,14.5,68.93,25.94,0.15,42.83
1743.34,277.54,112.61,43.37,1.86,17.59
775.79,131.33,87.39,30.72,0.86,51.11
1104.52,207.19,84.06,30.95,1.32,48.73
459.0,20.33,96.61,33.11,0.2,55.25
256.67,10.36,49.26,20.76,0.11,63.73
417.73,18.39,87.39,30.72,0.19,51.11
82.52,2.7,12.85,6.16,0.03,38.93
841.81,132.9,46.54,20.28,0.86,76.49
1002.66,201.63,81.81,27.91,1.22,38.11
2764.57,309.69,206.07,68.73,2.12,128.6
331.69,9.15,43.49,19.78,0.1,51.14
7094.57,862.31,301.99,84.89,5.68,167.41
58.06,9.92,3.48,1.8,0.07,8.22
58.06,9.92,3.48,1.8,0.07,8.22
106.58,23.21,9.42,4.86,0.17,9.67
841.81,132.9,46.54,20.28,0.86,76.49
205.69,7.88,37.44,17.53,0.09,20.17
58.06,9.92,3.48,1.8,0.07,8.22
211.33,48.15,16.86,8.45,0.34,11.03
1059.78,154.07,62.51,24.9,1.01,50.61
2020.68,282.6,114.66,43.06,1.88,47.67
1527.64,259.97,105.48,39.05,1.69,29.97
1743.34,277.54,112.61,43.37,1.86,13.19
21.17,0.73,3.48,1.8,0.01,8.22
21.55,0.93,4.43,2.43,0.01,9.08
109.59,20.57,8.35,4.1,0.14,11.2
21.55,0.93,4.43,2.43,0.01,9.08
271.82,9.84,46.79,19.15,0.1,67.31
1034.27,173.85,70.54,26.6,1.08,82.46
379.02,11.15,53.0,22.34,0.12,50.88
238.08,7.37,35.05,14.16,0.09,82.65
1038.36,215.38,87.39,30.72,1.36,51.11
565.9,112.3,39.33,16.71,0.73,60.44
966.17,23.69,112.58,42.93,0.26,99.31
703.81,119.08,41.7,18.03,0.8,39.63
252.67,10.62,50.48,21.15,0.12,34.55
163.96,37.84,13.25,6.7,0.27,10.36
2038.77,303.92,123.31,46.42,2.08,90.28
366.88,13.81,65.62,24.09,0.14,74.45
25.98,1.17,5.58,3.01,0.01,8.99
701.34,23.69,112.61,43.37,0.26,26.38
1642.11,273.05,110.79,40.92,1.82,74.79
569.39,20.49,97.4,33.55,0.2,86.57
1775.53,265.23,107.62,39.11,1.71,48.61
86.49,3.58,17.0,8.42,0.04,16.99
3034.44,371.06,150.55,55.44,2.55,53.23
987.7,27.25,129.51,49.57,0.31,52.44
163.96,37.84,13.25,6.7,0.27,10.36
4399.89,476.69,193.41,66.15,3.29,52.16
376.46,16.44,78.16,28.33,0.17,46.97
3636.82,346.47,140.58,51.62,2.36,0.25
1397.22,285.99,100.16,35.06,1.81,60.14
295.92,6.91,32.87,12.72,0.11,27.17
819.02,137.09,91.22,30.42,0.85,37.14
590.4,15.6,74.13,32.48,0.18,10.25
2143.25,291.29,118.19,45.03,1.96,47.21
568.34,19.16,91.05,32.59,0.19,49.81
168.14,27.86,9.76,4.28,0.19,29.15
1169.96,203.42,82.53,29.77,1.25,85.45
150.31,5.89,28.02,14.05,0.07,18.29
33.09,7.28,2.55,1.2,0.05,7.42
1652.13,335.73,117.58,41.38,2.09,76.43
290.44,11.27,53.57,20.38,0.11,41.01
52.62,8.57,3.48,1.8,0.06,8.22
365.73,15.23,72.39,25.4,0.15,39.07
1397.22,285.99,100.16,35.06,1.81,60.14
660.35,98.38,39.92,17.29,0.64,73.6
1204.08,233.62,94.79,32.58,1.44,35.35
1002.66,201.63,81.81,27.91,1.22,38.11
458.23,95.23,38.64,17.45,0.65,15.03
281.65,30.43,12.35,6.17,0.21,51.75
6179.68,586.11,237.8,75.15,4.07,41.52
1923.68,321.54,112.61,43.37,2.13,13.19
290.44,11.27,53.57,20.38,0.11,41.01
855.24,103.22,41.88,14.96,0.82,27.03
65.57,1.91,9.06,3.13,0.02,42.77
484.4,19.94,94.79,32.58,0.19,35.35
252.67,10.62,50.48,21.15,0.12,34.55
426.35,13.15,62.51,24.9,0.14,50.61
2478.0,361.72,146.76,53.83,2.43,70.33
1767.41,281.79,114.33,42.87,1.91,79.68
1039.64,155.85,103.7,37.02,1.05,65.02
77.71,2.24,10.65,4.46,0.02,58.58
21.55,0.93,4.43,2.43,0.01,9.08
1391.52,255.59,103.7,37.02,1.66,65.02
82.59,17.85,6.25,3.03,0.12,45.89
1279.02,32.78,155.82,56.9,0.38,53.43
379.02,11.15,53.0,22.34,0.12,50.88
568.34,19.16,91.05,32.59,0.19,49.81
412.6,85.08,34.52,16.28,0.59,14.34
1045.96,28.36,134.77,51.04,0.32,52.64
197.38,22.74,7.96,4.03,0.16,51.82
824.48,107.18,43.49,19.78,0.74,51.14
215.15,7.31,34.74,15.36,0.08,42.94
417.73,18.39,87.39,30.72,0.19,51.11
39.2,1.76,8.38,4.35,0.02,10.78
148.95,6.13,29.12,13.59,0.07,23.7
796.64,152.95,53.57,20.38,0.96,41.01
1266.23,246.85,100.16,35.06,1.58,60.14
1266.23,246.85,100.16,35.06,1.58,60.14
1261.4,37.64,178.89,62.33,0.41,120.46
211.33,48.15,16.86,8.45,0.34,11.03
96.22,1.81,8.61,3.46,0.03,25.8
4371.98,345.64,229.99,73.68,2.5,44.08
102.04,18.9,7.67,3.93,0.14,11.06
143.09,25.34,16.86,8.45,0.19,11.03
184.57,6.19,29.4,12.76,0.07,42.98
282.5,8.75,41.6,16.8,0.1,92.2
25.98,1.17,5.58,3.01,0.01,8.99
730.63,147.16,59.71,23.54,0.97,38.69
235.38,49.9,20.25,10.11,0.36,11.69
1038.36,215.38,87.39,30.72,1.36,51.11
83.97,10.22,3.58,1.89,0.07,51.88
3602.72,468.09,189.92,64.41,3.16,84.83
184.35,8.13,38.64,17.45,0.09,15.03
123.4,3.94,18.73,7.57,0.04,43.07
1148.25,208.15,84.45,29.03,1.27,81.59
1743.34,277.54,112.61,43.37,1.86,26.38
745.56,133.6,46.79,19.15,0.87,67.31
1122.99,33.57,159.57,57.07,0.38,74.39
290.44,11.27,53.57,20.38,0.11,41.01
441.01,19.19,91.22,30.42,0.18,37.14
657.95,22.94,109.04,41.21,0.25,28.17
1030.1,184.94,75.04,26.56,1.14,78.02
2951.22,482.94,169.13,58.71,3.14,74.64
1530.38,247.87,100.57,35.15,1.54,49.54
258.69,89.22,36.2,17.29,0.52,61.28
376.46,16.44,78.16,28.33,0.17,46.97
48.25,8.39,5.58,3.01,0.06,8.99
376.46,16.44,78.16,28.33,0.17,46.97
1923.68,321.54,112.61,43.37,2.13,13.19
473.68,15.15,72.03,27.47,0.16,50.34
1923.68,321.54,112.61,43.37,2.13,17.59
376.46,16.44,78.16,28.33,0.17,46.97
3104.87,424.84,172.37,60.32,2.86,78.45
809.64,26.95,128.11,37.77,0.29,149.45
417.73,18.39,87.39,30.72,0.19,51.11
21.55,0.93,4.43,2.43,0.01,9.08
496.87,17.17,81.6,25.99,0.18,116.73
1743.34,277.54,112.61,43.37,1.86,0.01
12.06,0.54,2.55,1.2,0.01,7.42
455.26,65.71,26.66,11.31,0.43,67.81
268.07,10.19,48.45,20.61,0.11,21.08
1313.53,34.9,165.88,58.24,0.41,137.72
4285.0,523.05,212.22,69.36,3.54,93.53
148.59,32.67,13.25,6.7,0.23,10.36
