Stormwater Gallons Saved,CO2 Avoided (in lbs.),kWh Saved,Therms Saved,Pollutants Saved (in lbs.),Property Benefits ($)
711.03,24.05,114.33,42.87,0.27,79.68
459.0,20.33,96.61,33.11,0.2,55.25
77.22,2.27,10.81,5.0,0.03,33.3
2334.76,297.92,120.88,45.39,1.99,91.98
163.96,37.84,13.25,6.7,0.27,10.36
1527.64,259.97,105.48,39.05,1.69,29.97
260.52,37.97,15.41,6.25,0.26,54.03
614.57,22.19,105.48,39.05,0.23,29.97
1025.45,31.38,149.15,55.27,0.35,66.08
243.82,6.44,30.62,14.21,0.07,51.4
664.98,21.9,104.09,37.13,0.22,49.07
290.44,11.27,53.57,20.38,0.11,41.01
1974.71,208.17,138.52,51.59,1.48,44.62
509.4,21.07,100.16,35.06,0.22,60.14
300.09,46.57,16.31,7.6,0.32,41.84
197.38,22.74,7.96,4.03,0.16,51.82
417.73,18.39,87.39,30.72,0.19,51.11
373.64,69.05,28.02,14.05,0.51,18.29
3235.43,395.95,160.65,50.7,2.81,0.01
208.89,6.92,32.89,14.36,0.08,38.05
2054.86,308.39,108.0,39.68,1.99,90.8
71.26,15.94,5.58,3.01,0.11,8.99
417.73,18.39,87.39,30.72,0.19,51.11
1039.64,155.85,103.7,37.02,1.05,65.02
2288.39,385.81,135.12,47.6,2.41,103.36
935.78,192.64,78.16,28.33,1.23,46.97
133.51,18.84,6.6,2.88,0.12,55.32
459.0,20.33,96.61,33.11,0.2,55.25
25.98,1.17,5.58,3.01,0.01,8.99
1419.78,251.19,101.92,36.9,1.6,31.76
1148.18,231.94,81.23,31.99,1.49,71.83
293.93,12.56,59.71,23.54,0.13,38.69
1743.34,277.54,112.61,43.37,1.86,17.59
77.22,2.27,10.81,5.0,0.03,33.3
815.52,155.22,62.98,22.89,0.96,40.04
615.67,21.16,100.57,35.15,0.21,49.54
133.51,18.84,6.6,2.88,0.12,55.32
942.13,130.63,53.0,22.34,0.87,50.88
559.81,21.82,103.7,37.02,0.23,65.02
1644.79,38.83,184.54,64.09,0.45,52.89
279.24,58.25,23.63,11.78,0.42,12.35
793.81,138.53,56.21,21.62,0.88,70.88
113.31,2.6,12.35,6.17,0.03,51.75
610.21,22.56,107.24,38.97,0.24,69.91
131.33,4.56,21.66,9.19,0.05,33.7
71.31,16.88,5.91,2.63,0.11,10.25
2758.94,396.24,160.77,58.07,2.61,115.03
48.67,1.39,6.6,2.88,0.01,55.32
21.55,0.93,4.43,2.43,0.01,9.08
1735.32,48.46,230.32,73.3,0.54,137.56
60.94,2.5,11.87,6.07,0.03,13.9
1003.14,206.71,72.39,25.4,1.26,39.07
457.22,20.51,97.5,37.02,0.19,92.99
211.4,8.68,41.25,18.76,0.1,30.4
2570.67,373.91,151.71,55.93,2.46,112.32
447.86,86.73,35.19,16.18,0.61,27.05
1564.31,248.77,100.94,35.59,1.57,87.98
211.4,8.68,41.25,18.76,0.1,30.4
509.4,21.07,100.16,35.06,0.22,60.14
210.43,18.56,12.35,6.17,0.13,51.75
58.06,9.92,3.48,1.8,0.07,8.22
215.12,41.35,16.78,8.02,0.29,15.53
1685.67,301.19,105.48,39.05,1.94,29.97
555.99,122.09,42.76,18.63,0.82,15.71
379.02,11.15,53.0,22.34,0.12,50.88
77.71,2.24,10.65,4.46,0.02,58.58
4022.81,498.96,174.74,60.34,3.35,103.61
155.95,3.74,17.76,8.64,0.04,51.66
833.21,169.9,68.93,25.94,1.1,42.83
5613.74,495.61,329.78,88.38,3.47,182.31
610.21,22.56,107.24,38.97,0.24,69.91
365.73,15.23,72.39,25.4,0.15,39.07
1096.23,224.83,91.22,30.42,1.35,37.14
117.72,4.85,23.06,11.01,0.06,20.35
11.69,0.51,2.44,1.39,0.01,5.77
191.52,41.56,16.86,8.45,0.3,11.03
935.78,192.64,78.16,28.33,1.23,46.97
1419.78,251.19,101.92,36.9,1.6,31.76
1295.08,200.97,81.54,30.03,1.28,50.07
1566.66,291.01,101.92,36.9,1.85,31.76
37.14,1.03,4.91,2.43,0.01,31.72
469.24,75.86,50.48,21.15,0.53,34.55
1535.47,296.11,103.7,37.02,1.91,65.02
935.78,192.64,78.16,28.33,1.23,46.97
1419.78,251.19,101.92,36.9,1.6,31.76
293.93,12.56,59.71,23.54,0.13,38.69
141.29,30.4,12.34,6.26,0.22,12.49
112.34,4.97,23.63,11.78,0.06,12.35
628.05,124.42,50.48,21.15,0.84,34.55
25.98,1.17,5.58,3.01,0.01,8.99
1136.68,31.66,150.49,54.37,0.36,118.87
376.07,13.21,62.81,27.56,0.15,18.03
935.78,192.64,78.16,28.33,1.23,46.97
628.05,124.42,50.48,21.15,0.84,34.55
1566.66,291.01,101.92,36.9,1.85,31.76
117.61,26.89,9.42,4.86,0.19,9.67
21.17,0.73,3.48,1.8,0.01,8.22
559.81,21.82,103.7,37.02,0.23,65.02
2843.55,317.35,211.17,68.76,2.19,39.02
28.28,0.93,4.42,2.12,0.01,26.83
1521.79,36.85,175.16,61.8,0.43,53.19
2486.08,50.03,237.8,75.15,0.6,41.52
559.81,21.82,103.7,37.02,0.23,65.02
42.88,1.98,9.42,4.86,0.02,9.67
658.91,22.81,108.4,38.09,0.23,49.32
1038.36,215.38,87.39,30.72,1.36,51.11
1139.67,192.22,77.99,28.87,1.24,52.1
155.95,3.74,17.76,8.64,0.04,51.66
129.98,5.68,27.02,13.44,0.07,13.0
1908.25,319.38,129.59,44.82,1.98,100.38
1006.3,187.38,65.62,24.09,1.17,74.45
1337.28,33.89,161.08,58.37,0.39,53.63
5851.73,566.85,229.99,73.68,3.93,44.08
2009.53,296.6,103.87,39.2,1.94,63.54
585.14,106.34,37.24,15.88,0.7,37.95
148.59,32.67,13.25,6.7,0.23,10.36
155.91,35.23,12.34,6.26,0.25,12.49
459.0,20.33,96.61,33.11,0.2,55.25
937.72,28.23,134.18,49.6,0.32,101.7
59.78,2.79,13.25,6.7,0.03,10.36
1415.35,240.06,97.4,33.55,1.49,86.57
480.23,18.04,85.74,32.2,0.18,50.77
48.0,1.43,6.79,2.91,0.02,36.99
335.2,14.5,68.93,25.94,0.15,42.83
387.65,43.76,17.76,8.64,0.3,51.66
55.63,1.98,9.4,4.71,0.02,36.01
1398.78,34.88,165.77,59.52,0.4,53.48
2944.21,381.74,154.89,51.73,2.6,93.23
211.4,8.68,41.25,18.76,0.1,30.4
148.59,32.67,13.25,6.7,0.23,10.36
2486.08,50.03,237.8,75.15,0.6,41.52
1185.66,35.73,169.83,60.2,0.39,117.75
37.42,3.97,18.87,9.3,0.03,51.01
219.5,36.83,14.94,6.55,0.24,44.65
133.51,18.84,6.6,2.88,0.12,55.32
21.55,0.93,4.43,2.43,0.01,9.08
823.31,25.03,118.95,43.83,0.27,50.88
252.67,10.62,50.48,21.15,0.12,34.55
1741.48,201.65,134.18,49.6,1.44,101.7
252.67,10.62,50.48,21.15,0.12,34.55
1743.34,277.54,112.61,43.37,1.86,8.8
16.47,2.28,0.93,0.54,0.02,34.61
2239.46,346.64,140.65,50.38,2.22,106.35
102.64,53.88,18.87,9.3,0.3,51.01
942.13,130.63,53.0,22.34,0.87,50.88
64.58,13.76,5.58,3.01,0.1,8.99
1429.05,232.83,81.54,30.03,1.47,50.07
1257.57,222.69,77.99,28.87,1.42,52.1
1642.11,273.05,110.79,40.92,1.82,74.79
4241.36,466.4,189.23,65.24,3.22,52.74
521.01,17.16,81.54,30.03,0.17,50.07
62.01,7.95,3.22,1.55,0.06,28.81
3179.27,384.03,155.82,56.9,2.64,53.43
44.09,1.76,8.35,4.1,0.02,11.2
70.38,2.85,13.53,6.07,0.03,49.74
